TEAM;TOTAL;AVG;MEDIAN;STD;YEAR;ID
Atlanta Hawks;$ 70,466,181;$ 4,697,745;$ 2,500,000;$ 4,816,823;2010;ATL
Atlanta Hawks;$ 70,198,210;$ 4,129,306;$ 2,071,680;$ 4,286,950;2009;ATL
Atlanta Hawks;$ 68,607,953;$ 4,287,997;$ 2,285,840;$ 4,799,028;2008;ATL
Atlanta Hawks;$ 58,531,493;$ 3,902,099;$ 3,174,240;$ 4,122,587;2007;ATL
Atlanta Hawks;$ 47,812,036;$ 3,187,469;$ 2,680,000;$ 3,171,392;2006;ATL
Atlanta Hawks;$ 73,264,898;$ 2,817,880;$ 1,365,000;$ 3,188,115;2005;ATL
Atlanta Hawks;$ 29,183,440;$ 2,244,880;$ 1,600,000;$ 1,695,500;2004;ATL
Atlanta Hawks;$ 29,183,440;$ 2,244,880;$ 1,600,000;$ 1,695,500;2003;ATL
Atlanta Hawks;$ 56,426,301;$ 3,761,753;$ 2,153,934;$ 3,984,128;2002;ATL
Atlanta Hawks;$ 49,328,373;$ 3,794,490;$ 2,265,240;$ 3,632,110;2001;ATL
Boston Celtics;$ 78,157,392;$ 5,210,492;$ 3,300,000;$ 5,482,468;2010;BOS
Boston Celtics;$ 84,815,811;$ 4,989,165;$ 2,500,000;$ 6,616,121;2009;BOS
Boston Celtics;$ 78,738,973;$ 6,056,844;$ 2,500,000;$ 8,395,152;2008;BOS
Boston Celtics;$ 73,812,248;$ 5,272,303;$ 1,684,070;$ 7,568,990;2007;BOS
Boston Celtics;$ 53,620,490;$ 3,574,699;$ 1,347,000;$ 4,891,198;2006;BOS
Boston Celtics;$ 105,190,044;$ 3,756,787;$ 1,382,940;$ 4,469,123;2005;BOS
Boston Celtics;$ 57,812,177;$ 4,817,681;$ 3,010,350;$ 4,940,912;2004;BOS
Boston Celtics;$ 57,812,177;$ 4,817,681;$ 3,010,350;$ 4,940,912;2003;BOS
Boston Celtics;$ 53,767,553;$ 3,840,539;$ 1,336,520;$ 4,446,686;2002;BOS
Boston Celtics;$ 47,469,112;$ 3,164,607;$ 2,051,271;$ 3,056,499;2001;BOS
Brooklyn Nets;$ 58,794,297;$ 3,919,619;$ 3,250,000;$ 3,281,844;2010;NJN
Brooklyn Nets;$ 66,383,879;$ 3,493,888;$ 2,416,067;$ 2,649,663;2009;NJN
Brooklyn Nets;$ 62,425,445;$ 3,901,590;$ 2,542,320;$ 3,958,438;2008;NJN
Brooklyn Nets;$ 66,609,387;$ 5,123,799;$ 1,889,760;$ 6,103,916;2007;NJN
Brooklyn Nets;$ 64,870,209;$ 4,054,388;$ 1,248,940;$ 5,609,781;2006;NJN
Brooklyn Nets;$ 123,195,800;$ 4,738,300;$ 2,500,000;$ 5,195,529;2005;NJN
Brooklyn Nets;$ 44,713,384;$ 3,439,491;$ 1,053,720;$ 4,729,955;2004;NJN
Brooklyn Nets;$ 44,713,384;$ 3,439,491;$ 1,053,720;$ 4,729,955;2003;NJN
Brooklyn Nets;$ 56,012,919;$ 3,734,194;$ 2,600,000;$ 4,392,814;2002;NJN
Brooklyn Nets;$ 47,863,993;$ 3,418,856;$ 2,400,000;$ 3,392,067;2001;NJN
Charlotte Hornets;$ 65,721,604;$ 4,381,440;$ 3,500,000;$ 3,179,661;2010;CHA
Charlotte Hornets;$ 73,084,292;$ 3,846,541;$ 2,374,680;$ 3,743,340;2009;CHR
Charlotte Hornets;$ 68,004,277;$ 4,250,267;$ 4,574,357;$ 3,397,114;2008;CHR
Charlotte Hornets;$ 51,725,077;$ 3,232,817;$ 2,160,000;$ 3,216,623;2007;CHR
Charlotte Hornets;$ 41,961,743;$ 2,797,449;$ 2,750,000;$ 1,470,207;2006;CHR
Charlotte Hornets;$ 60,627,290;$ 2,165,260;$ 1,907,500;$ 1,502,823;2005;CHR
Charlotte Hornets;$ 17,086,511;$ 1,314,347;$ 1,174,000;$ 890,130;2004;CHR
Charlotte Hornets;$ 17,086,511;$ 1,314,347;$ 1,174,000;$ 890,130;2003;CHA
Chicago Bulls;$ 56,820,182;$ 4,058,584;$ 2,421,068;$ 4,106,908;2010;CHI
Chicago Bulls;$ 78,469,779;$ 3,566,808;$ 2,103,080;$ 3,509,114;2009;CHI
Chicago Bulls;$ 71,400,091;$ 4,760,006;$ 3,749,880;$ 3,976,631;2008;CHI
Chicago Bulls;$ 62,413,599;$ 3,900,849;$ 2,691,700;$ 3,730,804;2007;CHI
Chicago Bulls;$ 54,699,276;$ 3,646,618;$ 2,696,956;$ 3,918,981;2006;CHI
Chicago Bulls;$ 75,315,544;$ 2,510,518;$ 2,410,000;$ 1,902,642;2005;CHI
Chicago Bulls;$ 41,322,190;$ 2,951,585;$ 2,437,420;$ 3,181,738;2004;CHI
